Pinchbeck Slow Course Doubles|5.145.5.3.145,123
Caernarvonshire Bob Doubles|5.145.5.3.345,123
Kent Bob Doubles|5.145.5.3.345,125
Bedfont Place Doubles|345.1.5.1.345.1.5.1.5.1
Double Portington Place Doubles|345.1.5.1.345.123.5.1.5.123
Cranbourne Place Doubles|5.1.5.1.5.123.5.1.5.123
Bastow Little Bob Doubles|5,1.3.1
Kempton Little Slow Course Doubles|3.1.123,125
Hanworth Little Bob Doubles|3.1.345,125
Spital Little Slow Course Doubles|3.145.123,125
Dedworth Little Place Doubles|3.145.345,125
Ickenham Little Slow Course Doubles|345.1.123,125
Northolt Little Place Doubles|345.1.345,125
Twyford Little Slow Course Doubles|5.1.123,125
Greenford Little Bob Doubles|5.1.345,125
West Tofts Bob Doubles|3.1.125.123.5,123
Hippogryph Bob Doubles|3.1.125.123.5,145
Tottington Bob Doubles|3.1.125.3.5,123
Phoenix Bob Doubles|3.1.125.3.5,145
St Dunstan's Bob Doubles|3.1.5.1.5,125
Tyneham Bob Doubles|3.1.5.123.5,123
Wyvern Bob Doubles|3.1.5.123.5,145
Imber New Bob Doubles|3.1.5.3.5,123
Griffin Bob Doubles|3.1.5.3.5,145
Winterbourne Bob Doubles|3.145.125.123.5,123
Pixie Place Doubles|3.145.125.123.5,145
Leckhampstead Bob Doubles|3.145.125.3.5,123
Elf Bob Doubles|3.145.125.3.5,145
Fawley Bob Doubles|3.145.5.123.5,123
Peri Place Doubles|3.145.5.123.5,145
Stockcross Bob Doubles|3.145.5.3.5,123
Goblin Bob Doubles|3.145.5.3.5,145
Woodcott Place Doubles|345.1.125.123.5,123
Faun Place Doubles|345.1.125.123.5,145
Binley Bob Doubles|345.1.125.3.5,123
Cyclops Bob Doubles|345.1.125.3.5,145
Egbury Place Doubles|345.1.5.123.5,123
Mermaid Place Doubles|345.1.5.123.5,145
Stoke Bob Doubles|345.1.5.3.5,123
Centaur Bob Doubles|345.1.5.3.5,145
Flanders Poppy Place Doubles|345.145.125.123.5,123
Silton Place Doubles|345.145.125.123.5,145
Coquelicot Bob Doubles|345.145.125.3.5,123
Maiden Bradley Bob Doubles|345.145.125.3.5,145
Cambridge Place Doubles|345.145.5.1.5,125
Cenotaph Place Doubles|345.145.5.123.5,123
Bourton Place Doubles|345.145.5.123.5,145
Memorial Bob Doubles|345.145.5.3.5,123
Stourton Bob Doubles|345.145.5.3.5,145
Bowerchalke Place Doubles|5.1.5.1.5,123
St Hilda's Place Doubles|5.1.5.1.5,145
Oxford Bob Doubles|5.145.5.1.5,125
Weston-by-Welland Bob Doubles|3.1.125.1.345.123.125.1.5.125
Thornby Bob Doubles|3.1.125.1.345.123.5.1.3.1
Ragdale Bob Doubles|3.1.125.1.345.123.5.145.345.1
Ashby St Ledgers Bob Doubles|3.1.125.1.345.3.125.1.3.1
Seagrave Bob Doubles|3.1.125.1.345.3.125.145.345.1
Great Oakley Bob Doubles|3.1.125.1.345.3.5.1.5.125
Plantagenet Bob Doubles|3.1.125.1.5.1.5.1.5.1
Haselbech Bob Doubles|3.1.125.1.5.3.125.1.345.1
Bringhurst Bob Doubles|3.1.125.123.125.123.5.1.3.125
Welham Bob Doubles|3.1.125.123.125.3.125.1.3.125
Yarwell Bob Doubles|3.1.125.123.345.123.125.1.345.125
Glapthorn Bob Doubles|3.1.125.123.345.123.125.145.3.125
Razoul the Head Palace Guard Bob Doubles|3.1.125.123.5.123.125.1.5.123
Stoke Albany Bob Doubles|3.1.125.123.5.123.5.1.5.1
East Farndon Bob Doubles|3.1.125.123.5.3.125.1.5.1
Culworth Bob Doubles|3.1.125.123.5.3.5.1.3.125
Thomas Giddings Bob Doubles|3.1.125.123.5.3.5.1.5.123
Eye Brook Bob Doubles|3.1.125.3.125.123.125.1.3.125
Dibley Bob Doubles|3.1.125.3.125.123.5.1.5.1
Wothorpe Bob Doubles|3.1.125.3.125.3.125.1.5.1
Wilbarston Bob Doubles|3.1.125.3.125.3.5.1.3.125
Potterspury Bob Doubles|3.1.125.3.345.1.125.1.3.1
Harpole Bob Doubles|3.1.125.3.345.1.125.145.345.1
Tiffield Bob Doubles|3.1.125.3.345.1.5.1.5.125
Bainton Bob Doubles|3.1.125.3.345.3.125.1.345.125
Tansor Bob Doubles|3.1.125.3.345.3.125.145.3.125
Kelmarsh Bob Doubles|3.1.125.3.5.123.125.1.5.1
Gretton Bob Doubles|3.1.125.3.5.123.5.1.3.125
Sidney J Daniels Bob Doubles|3.1.125.3.5.123.5.1.5.123
Bridgnorth District Bob Doubles|3.1.125.3.5.3.125.1.5.123
Corby Bob Doubles|3.1.125.3.5.3.5.1.5.1
Whiston Bob Doubles|3.1.5.1.145.3.5.1.345.125
Abington Bob Doubles|3.1.5.1.145.3.5.145.3.125
Grafton Underwood Bob Doubles|3.1.5.1.345.1.125.1.5.125
Oxton Bob Doubles|3.1.5.1.345.1.5.1.5.1
St Rumbald Bob Doubles|3.1.5.1.345.1.5.145.345.1
St Hugh Bob Doubles|3.1.5.1.5.1.5.1.5.123
Barrow-upon-Humber Bob Doubles|3.1.5.1.5.1.5.1.5.125
Jack of Both Sides Bob Doubles|3.1.5.1.5.3.5.1.3.125
Jack a Napes Bob Doubles|3.1.5.1.5.3.5.1.3.145
Woodford Bob Doubles|3.1.5.123.125.1.5.1.345.1
Upper Benefield Bob Doubles|3.1.5.123.125.123.5.1.5.1
East Carlton Bob Doubles|3.1.5.123.125.3.125.1.5.1
Bishops Caundle Bob Doubles|3.1.5.123.125.3.5.1.3.125
Cosgrove Bob Doubles|3.1.5.123.345.1.125.1.3.1
Kislingbury Bob Doubles|3.1.5.123.345.1.125.145.345.1
Milton Malsor Bob Doubles|3.1.5.123.345.1.5.1.5.125
Lutton Bob Doubles|3.1.5.123.345.123.5.1.345.125
Woodnewton Bob Doubles|3.1.5.123.345.123.5.145.3.125
Desborough Bob Doubles|3.1.5.123.5.123.125.1.5.1
Grand Vizier Jafar Bob Doubles|3.1.5.123.5.123.5.1.5.123
Caldecote Bob Doubles|3.1.5.123.5.3.125.1.3.125
Staverton Bob Doubles|3.1.5.123.5.3.5.1.5.1
Bledlow Bob Doubles|3.1.5.3.125.123.5.1.3.125
Dingley Bob Doubles|3.1.5.3.125.3.125.1.3.125
Mawsley Bob Doubles|3.1.5.3.125.3.5.1.5.1
Castle Ashby Bob Doubles|3.1.5.3.145.1.5.1.345.125
Sywell Bob Doubles|3.1.5.3.145.1.5.145.3.125
Sibbertoft Bob Doubles|3.1.5.3.145.123.5.1.5.125
Wakerley Bob Doubles|3.1.5.3.145.3.125.1.5.125
Hemington Bob Doubles|3.1.5.3.345.3.5.1.345.125
Hellidon Bob Doubles|3.1.5.3.345.3.5.145.3.125
Denford Bob Doubles|3.1.5.3.5.1.5.1.345.1
Woodwell Bob Doubles|3.1.5.3.5.1.5.145.3.1
Guilsborough Bob Doubles|3.1.5.3.5.123.125.1.3.125
Arthur Oakley Bob Doubles|3.1.5.3.5.123.125.1.5.123
Byfield Bob Doubles|3.1.5.3.5.123.5.1.5.1
Stanion Bob Doubles|3.1.5.3.5.3.125.1.5.1
Aladdin Bob Doubles|3.1.5.3.5.3.5.1.5.123
Nevill Holt Place Doubles|3.145.125.123.125.123.5.145.3.125
Cranoe Place Doubles|3.145.125.123.125.3.125.145.3.125
Seaton Bob Doubles|3.145.125.123.345.123.125.1.3.125
Cottingham Place Doubles|3.145.125.123.5.123.125.1.345.125
E Peter Rock Bob Doubles|3.145.125.123.5.123.125.145.5.123
Tilton-on-the-Hill Bob Doubles|3.145.125.123.5.123.5.145.5.1
Owston Bob Doubles|3.145.125.123.5.3.125.145.5.1
Scaldwell Bob Doubles|3.145.125.123.5.3.5.1.345.125
Rutland Branch Bob Doubles|3.145.125.123.5.3.5.145.3.125
Alfred Poulton Bob Doubles|3.145.125.123.5.3.5.145.5.123
Stoke Dry Place Doubles|3.145.125.3.125.123.125.145.3.125
Cottesbrooke Bob Doubles|3.145.125.3.125.123.5.145.5.1
Woodend Bob Doubles|3.145.125.3.125.3.125.145.5.1
Whittlebury Bob Doubles|3.145.125.3.125.3.5.1.345.125
Aldwinkle Bob Doubles|3.145.125.3.125.3.5.145.3.125
Ryhall Bob Doubles|3.145.125.3.345.3.125.1.3.125
Radstone Bob Doubles|3.145.125.3.5.123.125.145.5.1
Lamport Bob Doubles|3.145.125.3.5.123.5.1.345.125
Barrowden Bob Doubles|3.145.125.3.5.123.5.145.3.125
Arthur W Davis Bob Doubles|3.145.125.3.5.123.5.145.5.123
Achurch Bob Doubles|3.145.125.3.5.3.125.1.345.125
Great Creaton Bob Doubles|3.145.125.3.5.3.5.145.5.1
Farthinghoe Bob Doubles|3.145.5.1.145.3.5.1.3.125
Melvin Place Doubles|3.145.5.1.5.1.5.1.345.125
Duncote Bob Doubles|3.145.5.123.125.123.5.145.5.1
Cold Ashby Bob Doubles|3.145.5.123.125.3.125.145.5.1
Great Doddington Bob Doubles|3.145.5.123.125.3.5.1.345.125
Thrussington Bob Doubles|3.145.5.123.125.3.5.145.3.125
Wing Bob Doubles|3.145.5.123.345.123.5.1.3.125
Whitfield Bob Doubles|3.145.5.123.5.123.125.145.5.1
Marston Trussell Place Doubles|3.145.5.123.5.123.5.1.345.125
E Charles Biggs Bob Doubles|3.145.5.123.5.123.5.145.5.123
Stoke Bruerne Bob Doubles|3.145.5.123.5.3.125.1.345.125
Wappenham Bob Doubles|3.145.5.123.5.3.125.145.3.125
Plumpton Bob Doubles|3.145.5.123.5.3.5.145.5.1
Chelveston Bob Doubles|3.145.5.3.125.123.5.1.345.125
